claim_id,id,split,issue_type,current_label,automated_evidence,policy_review,final_decision,final_confidence,recommended_action,final_reason,review_status
C001,H0009,heldout,leakage,ham,train_id=T3705;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C002,H0412,heldout,leakage,spam,train_id=T1319;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C003,H0548,heldout,leakage,spam,train_id=T0266;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C004,H0909,heldout,leakage,spam,train_id=T0683;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C005,H0922,heldout,leakage,spam,train_id=T4292;match=exact;similarity=1.0000,manual=accepted;Identical after lowercasing and whitespace collapse.,should_fix,high,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C006,H0143,heldout,label_error,spam,heldout_word_p_spam=0.017;char_p_spam=0.019;assigned=spam,"independent_policy_review=The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched.",keep_but_flag,high,do_not_change_heldout_label,"Assigned spam; evidence supports ham. The tattoo line is a standalone joke without solicitation; both trained models strongly predict ham, but held-out labels remain untouched.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C007,T0059,train,label_error,spam,OOF_word_p_spam=0.037;char_p_spam=0.032;assigned=spam,independent_policy_review=The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The Divorce Barbie line is a self-contained joke with no spam action; both OOF text models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C008,T1149,train,label_error,spam,OOF_word_p_spam=0.069;char_p_spam=0.120;assigned=spam,independent_policy_review=The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The Arsenal dartboard line is a joke with no transaction details or response route; both OOF models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C009,T2232,train,label_error,spam,OOF_word_p_spam=0.051;char_p_spam=0.024;assigned=spam,independent_policy_review=The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The child-versus-teenager line is a conversational joke with no commercial or contact mechanism; both OOF models strongly predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C010,T2378,train,label_error,spam,OOF_word_p_spam=0.009;char_p_spam=0.008;assigned=spam,"independent_policy_review=A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam label.",should_fix,high,apply_training_label_overlay,"Assigned spam; evidence supports ham. A standalone observational driving joke contains no solicitation, charge, contact instruction, or commercial intent; both OOF models and ham neighbours oppose the spam l...",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C011,T3791,train,label_error,ham,OOF_word_p_spam=0.764;char_p_spam=0.633;assigned=ham,independent_policy_review=An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.,should_fix,high,apply_training_label_overlay,Assigned ham; evidence supports spam. An unsolicited contact-platform invitation promotes free SMS and supplies an opt-out command; both OOF models predict spam.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C012,T4358,train,label_error,spam,OOF_word_p_spam=0.104;char_p_spam=0.153;assigned=spam,independent_policy_review=The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.,should_fix,high,apply_training_label_overlay,Assigned spam; evidence supports ham. The stolen-toilet line is a one-line joke rather than a solicitation; both OOF models strongly oppose the spam label.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C013,H0009,heldout,exact_duplicate,ham,cluster=E0009;size=2;members=H0009|T3705,splits=heldout|train;labels=ham;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C014,H0412,heldout,exact_duplicate,spam,cluster=E0164;size=2;members=T1319|H0412,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C015,H0548,heldout,exact_duplicate,spam,cluster=E0049;size=3;members=T0266|H0548|T4368,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C016,H0909,heldout,exact_duplicate,spam,cluster=E0091;size=2;members=T0683|H0909,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C017,H0922,heldout,exact_duplicate,spam,cluster=E0285;size=2;members=H0922|T4292,splits=heldout|train;labels=spam;normalization=lowercase+whitespace-collapse,should_fix,high,rebuild_split_by_cluster,"This normalized text occurs across train and held-out, so the held-out row is not independent.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C018,H0445,heldout,leakage,spam,train_id=T4014;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",should_fix,medium,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C019,H0470,heldout,leakage,spam,train_id=T1013;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",should_fix,medium,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C020,H0644,heldout,leakage,spam,train_id=T2769;match=near;similarity=1.0000,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",should_fix,medium,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C021,H0738,heldout,leakage,spam,train_id=T0218;match=near;similarity=0.9958,"manual=accepted;Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",should_fix,medium,exclude_from_leakage_aware_metric_and_rebuild_split,This held-out row is recoverable from a training row and inflates the independence claim of evaluation.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C022,H0311,heldout,near_duplicate,spam,paired_id=T0885;word_cos=0.9917;char_cos=0.9519,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,medium,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C023,H0445,heldout,near_duplicate,spam,paired_id=T4014;word_cos=1.0000;char_cos=0.9566,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,high,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C024,H0470,heldout,near_duplicate,spam,paired_id=T1013;word_cos=1.0000;char_cos=0.9091,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,high,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C025,H0548,heldout,near_duplicate,spam,paired_id=T4090;word_cos=0.9640;char_cos=0.9967,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,high,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C026,H0644,heldout,near_duplicate,spam,paired_id=T2769;word_cos=1.0000;char_cos=0.9790,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,high,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C027,H0738,heldout,near_duplicate,spam,paired_id=T0218;word_cos=0.9823;char_cos=0.9958,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes.",keep_but_flag,medium,review_for_cluster_aware_evaluation,The held-out message preserves a distinctive training template with minor substitutions.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C028,H0896,heldout,label_error,spam,heldout_word_p_spam=0.105;char_p_spam=0.063;assigned=spam,independent_policy_review=The wording reads as a recipient asking what to do after a winning-number message rather than originating the promotion; both models predict ham.,keep_but_flag,medium,do_not_change_heldout_label,Assigned spam; evidence supports ham. The wording reads as a recipient asking what to do after a winning-number message rather than originating the promotion; both models predict ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C029,T1798,train,label_error,spam,OOF_word_p_spam=0.037;char_p_spam=0.103;assigned=spam,"independent_policy_review=The sender warns the recipient about a scam and says not to respond; the spam-like terms are quoted as safety context, and both OOF models predict ham.",should_fix,medium,apply_training_label_overlay,"Assigned spam; evidence supports ham. The sender warns the recipient about a scam and says not to respond; the spam-like terms are quoted as safety context, and both OOF models predict ham.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C030,T3272,train,label_error,spam,OOF_word_p_spam=0.107;char_p_spam=0.068;assigned=spam,"independent_policy_review=This is a named personal debt-collection update thanking the recipient for information, not an offer; both OOF models strongly predict ham.",should_fix,medium,apply_training_label_overlay,"Assigned spam; evidence supports ham. This is a named personal debt-collection update thanking the recipient for information, not an offer; both OOF models strongly predict ham.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C031,T4296,train,label_error,spam,OOF_word_p_spam=0.120;char_p_spam=0.167;assigned=spam,"independent_policy_review=The message asks whether received dating texts are connected to a prior action; it discusses spam rather than soliciting the recipient, and both OOF models predict ham.",should_fix,medium,apply_training_label_overlay,"Assigned spam; evidence supports ham. The message asks whether received dating texts are connected to a prior action; it discusses spam rather than soliciting the recipient, and both OOF models predict ham.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C032,T0069,train,exact_duplicate,ham,cluster=E0014;size=30;members=T0069|T0188|T0283|T0367|T0569|T0623|T0915|T0933|T1194|T1277|T1526|T1586|T1591|T1911|T1965|T2024|T2028|T2029|T2128|T2699|T2714|T2850|T2900|T3321|T3358|T3373|T4158|T4338|T4366|T4448,splits=train;labels=ham;normalization=lowercase+whitespace-collapse,keep_but_flag,medium,deduplicate_training_cluster,This repeated training template receives disproportionate weight unless clustering is respected.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C033,T0161,train,exact_duplicate,spam,cluster=E0028;size=4;members=T0161|T0811|T3230|T3252,splits=train;labels=spam;normalization=lowercase+whitespace-collapse,keep_but_flag,medium,deduplicate_training_cluster,This repeated training template receives disproportionate weight unless clustering is respected.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C034,H0044,heldout,shortcut,spam,shallow_p_spam=0.088;shallow_pred=ham,full_text_p_spam=0.961;full_text_pred=spam;label=spam,keep_but_flag,high,retain_for_shortcut_stress_test,"The shallow model misses a ringtone-club solicitation because it lacks the usual numeric cues, while the full text model predicts spam.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C035,H0287,heldout,shortcut,spam,shallow_p_spam=0.997;shallow_pred=spam,full_text_p_spam=0.305;full_text_pred=ham;label=spam,keep_but_flag,high,retain_for_shortcut_stress_test,"A premium-rate adult-chat lure is detected almost entirely by phone, price, and contact markers while the full text model misses it.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C036,H0318,heldout,shortcut,spam,shallow_p_spam=1.000;shallow_pred=spam,full_text_p_spam=0.455;full_text_pred=ham;label=spam,keep_but_flag,high,retain_for_shortcut_stress_test,Premium-price and reply markers drive the shallow spam probability to approximately 1.0 even though the text model is below threshold.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C037,H0891,heldout,shortcut,spam,shallow_p_spam=0.026;shallow_pred=ham,full_text_p_spam=0.797;full_text_pred=spam;label=spam,keep_but_flag,high,retain_for_shortcut_stress_test,"A mobile-club offer is a shallow-model false negative, showing that contact/digit rules do not cover all spam templates.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C038,H0946,heldout,shortcut,ham,shallow_p_spam=0.991;shallow_pred=spam,full_text_p_spam=0.028;full_text_pred=ham;label=ham,keep_but_flag,high,retain_for_shortcut_stress_test,"The shallow model predicts spam at 0.991 because of price and digits, while the full text model predicts ham; monetary cues cause a clear false positive.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C039,H0491,heldout,shortcut,ham,shallow_p_spam=0.900;shallow_pred=spam,full_text_p_spam=0.046;full_text_pred=ham;label=ham,keep_but_flag,medium,retain_for_shortcut_stress_test,Recruitment language plus contact details produces a 0.900 shallow spam score although the public label and text model are ham.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C040,H0896,heldout,shortcut,spam,shallow_p_spam=0.013;shallow_pred=ham,full_text_p_spam=0.105;full_text_pred=ham;label=spam,keep_but_flag,medium,retain_for_shortcut_stress_test,"A spam-labelled recipient reply has almost no shallow spam markers, demonstrating how surface cues interact with likely label noise.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C041,H0949,heldout,shortcut,ham,shallow_p_spam=0.632;shallow_pred=spam,full_text_p_spam=0.444;full_text_pred=ham;label=ham,keep_but_flag,medium,retain_for_shortcut_stress_test,"URL and free-SMS language push the shallow model toward spam on a public ham label, exposing a policy-sensitive shortcut.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C042,H0949,heldout,ambiguous,ham,word_p_spam=0.444;char_p_spam=0.481;label=ham,policy_review=A contact-list invitation advertises a free-SMS website but may be generated by a known contact; consent and sender context are unavailable.,ambiguous_policy_case,medium,clarify_social_invitation_policy,A contact-list invitation advertises a free-SMS website but may be generated by a known contact; consent and sender context are unavailable.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C043,T0702,train,ambiguous,spam,word_p_spam=0.051;char_p_spam=0.043;label=spam,"policy_review=Product-trial recruitment requests address and date of birth, but could be an expected research invitation or unsolicited promotion.",ambiguous_policy_case,medium,clarify_recruitment_policy,"Product-trial recruitment requests address and date of birth, but could be an expected research invitation or unsolicited promotion.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C044,T1020,train,ambiguous,ham,word_p_spam=0.504;char_p_spam=0.716;label=ham,"policy_review=A job-description delivery notice may be an expected recruiter follow-up, while the generic contact wording resembles bulk recruitment messaging.",ambiguous_policy_case,medium,clarify_recruitment_followup_policy,"A job-description delivery notice may be an expected recruiter follow-up, while the generic contact wording resembles bulk recruitment messaging.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C045,T2139,train,ambiguous,spam,word_p_spam=0.016;char_p_spam=0.011;label=spam,policy_review=The message could be personal flirting or an unsolicited adult-chat lure; no explicit price or service identifier resolves the sender relationship.,ambiguous_policy_case,medium,clarify_adult_chat_policy,The message could be personal flirting or an unsolicited adult-chat lure; no explicit price or service identifier resolves the sender relationship.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C046,T2710,train,ambiguous,spam,word_p_spam=0.071;char_p_spam=0.026;label=spam,policy_review=The text resembles a personal missed-call follow-up but includes a 070 number often used in premium-rate lures; sender context is unavailable.,ambiguous_policy_case,medium,clarify_premium_number_policy,The text resembles a personal missed-call follow-up but includes a 070 number often used in premium-rate lures; sender context is unavailable.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C047,T2847,train,ambiguous,spam,word_p_spam=0.248;char_p_spam=0.155;label=spam,policy_review=A club ticket-sale notice may be expected by members or unsolicited commercial advertising; relationship context is missing.,ambiguous_policy_case,medium,clarify_membership_notice_policy,A club ticket-sale notice may be expected by members or unsolicited commercial advertising; relationship context is missing.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C048,T3981,train,ambiguous,spam,word_p_spam=0.376;char_p_spam=0.189;label=spam,policy_review=A charity donation call-to-action is promotional and billable but socially legitimate; the corpus policy does not state whether opt-in charity campaigns count as spam.,ambiguous_policy_case,medium,clarify_charity_campaign_policy,A charity donation call-to-action is promotional and billable but socially legitimate; the corpus policy does not state whether opt-in charity campaigns count as spam.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C049,H0531,heldout,near_duplicate,ham,paired_id=T2085;word_cos=1.0000;char_cos=0.8628,Rejected as leakage: a very short generic acknowledgement can recur independently.,false_positive_audit_finding,low,retain_as_rejected_candidate,"Similarity crosses the numeric threshold, but manual comparison rejects a shared-source claim.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C050,H0850,heldout,near_duplicate,ham,paired_id=T1881;word_cos=1.0000;char_cos=0.7307,Rejected: word TF-IDF ignores the semantic reversal between 'affectionate' and 'hostile'.,false_positive_audit_finding,low,retain_as_rejected_candidate,"Similarity crosses the numeric threshold, but manual comparison rejects a shared-source claim.",AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
C051,H0935,heldout,ambiguous,ham,word_p_spam=0.435;char_p_spam=0.527;label=ham,policy_review=The short statement about liking a mobile triggered model uncertainty but is plainly compatible with ordinary ham; uncertainty is not semantic ambiguity.,false_positive_audit_finding,low,keep_original_label,The short statement about liking a mobile triggered model uncertainty but is plainly compatible with ordinary ham; uncertainty is not semantic ambiguity.,AI-assisted evidence pass plus a separate policy pass; no independent human reviewer is claimed
