queue_rank,id,label,candidate_reason,priority_score,all_shallow_p_spam,all_shallow_pred,full_text_p_spam,full_text_pred,masked_text_p_spam,masked_text_pred,cue_snapshot,text
1,H0143,spam,both_models_miss_spam,0.9813642982461575,0.01863570175384259,ham,0.0170738402298953,ham,0.01456022047019845,ham,digits=2;currency=0;url=0;phone=0;promo_tokens=0;chars=102,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
2,H0814,spam,both_models_miss_spam,0.9727572144344132,0.013933128582081492,ham,0.0272427855655868,ham,0.02484893066482382,ham,digits=4;currency=0;url=0;phone=0;promo_tokens=0;chars=146,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
3,H0550,spam,both_models_miss_spam,0.9190411127395487,0.013506433594859901,ham,0.0809588872604513,ham,0.0724924877066671,ham,digits=0;currency=0;url=0;phone=0;promo_tokens=0;chars=152,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
4,H0896,spam,both_models_miss_spam,0.894673224795475,0.011629720570333889,ham,0.1053267752045251,ham,0.08775340646404468,ham,digits=3;currency=0;url=0;phone=0;promo_tokens=0;chars=51,Money i have won wining number 946 wot do i do next
5,H0044,spam,shallow_false_negative,0.8759586752233456,0.08524584316680381,ham,0.9612045183901494,spam,0.9653699023584554,spam,digits=0;currency=0;url=0;phone=0;promo_tokens=1;chars=133,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
6,H0891,spam,shallow_false_negative,0.7725782938596989,0.02456722527633422,ham,0.7971455191360332,spam,0.7164972263630027,spam,digits=2;currency=0;url=0;phone=0;promo_tokens=0;chars=73,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
7,H1024,spam,shallow_false_negative,0.5487757209623364,0.1257384850785229,ham,0.6745142060408593,spam,0.7473104086483412,spam,digits=2;currency=0;url=0;phone=0;promo_tokens=1;chars=149,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
8,H0944,spam,shallow_false_negative,0.47836114844577227,0.025840566501292742,ham,0.504201714947065,spam,0.4031886231812147,ham,digits=3;currency=0;url=0;phone=0;promo_tokens=0;chars=160,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
9,H0151,spam,shallow_false_negative,0.4075381316516121,0.1546897745008028,ham,0.5622279061524149,spam,0.5974808864616625,spam,digits=3;currency=0;url=0;phone=0;promo_tokens=1;chars=129,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
10,H0181,spam,shallow_false_negative,0.3850996372003267,0.20884390347582535,ham,0.5939435406761521,spam,0.6318645109405877,spam,digits=3;currency=0;url=0;phone=0;promo_tokens=1;chars=132,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
11,H0004,spam,shallow_false_negative,0.38070781782113594,0.37497477457916406,ham,0.7556825924003,spam,0.7508938211341962,spam,digits=1;currency=1;url=0;phone=0;promo_tokens=1;chars=158,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
12,H0509,spam,shallow_false_negative,0.3797822805169089,0.18990688786195556,ham,0.5696891683788644,spam,0.6249752981215714,spam,digits=3;currency=0;url=0;phone=0;promo_tokens=1;chars=153,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
13,H0243,spam,shallow_false_negative,0.35343970343629927,0.25274811200928016,ham,0.6061878154455794,spam,0.759996586619479,spam,digits=5;currency=0;url=0;phone=0;promo_tokens=1;chars=66,network operator. The service is free. For T & C's visit 80488.biz
14,H0946,ham,shallow_false_positive,0.96437737541569,0.992109170915974,spam,0.0277317955002839,ham,0.02377108211213007,ham,digits=11;currency=3;url=0;phone=0;promo_tokens=0;chars=89,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
15,H0491,ham,shallow_false_positive,0.8603364575017975,0.9063106229454247,spam,0.0459741654436272,ham,0.05889023059918125,ham,digits=0;currency=0;url=1;phone=0;promo_tokens=1;chars=167,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
16,H0076,ham,shallow_false_positive,0.6746452896509251,0.6976661824699201,spam,0.023020892818995,ham,0.022682017637265628,ham,digits=9;currency=0;url=0;phone=0;promo_tokens=1;chars=248,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
17,H0400,ham,shallow_false_positive,0.5654792039967181,0.5930772245199399,spam,0.0275980205232218,ham,0.023136658990380116,ham,digits=6;currency=1;url=0;phone=0;promo_tokens=0;chars=151,"""YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"""
18,H0889,ham,shallow_false_positive,0.38426543513168226,0.7947060519698154,spam,0.4104406168381331,ham,0.701898628011637,spam,digits=0;currency=0;url=0;phone=0;promo_tokens=3;chars=126,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
19,H0475,ham,shallow_false_positive,0.1824608571423772,0.6261510072640304,spam,0.4436901501216532,ham,0.4922324621491577,ham,digits=0;currency=0;url=1;phone=0;promo_tokens=1;chars=158,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
20,H0949,ham,shallow_false_positive,0.1824608571423772,0.6261510072640304,spam,0.4436901501216532,ham,0.4922324621491577,ham,digits=0;currency=0;url=1;phone=0;promo_tokens=1;chars=158,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
21,H0287,spam,shallow_rescues_full_text_miss,0.6923706015380682,0.9973851250876066,spam,0.3050145235495384,ham,0.2635541610947463,ham,digits=19;currency=1;url=0;phone=1;promo_tokens=0;chars=153,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
22,H0330,spam,shallow_rescues_full_text_miss,0.5696219359219509,0.8736367818496072,spam,0.3040148459276564,ham,0.2609606549265799,ham,digits=6;currency=0;url=1;phone=0;promo_tokens=0;chars=73,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
23,H0318,spam,shallow_rescues_full_text_miss,0.5452922613667934,0.9999939490788519,spam,0.4547016877120584,ham,0.5483990383199961,spam,digits=26;currency=0;url=0;phone=1;promo_tokens=3;chars=160,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
24,H0927,spam,shallow_rescues_full_text_miss,0.5199109282075302,0.9996119811422773,spam,0.4797010529347472,ham,0.6106547324528011,spam,digits=3;currency=0;url=1;phone=0;promo_tokens=4;chars=160,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
25,H0903,spam,shallow_rescues_full_text_miss,0.5158261360162424,0.9838262266270394,spam,0.468000090610797,ham,0.41163003177160756,ham,digits=22;currency=0;url=0;phone=1;promo_tokens=0;chars=143,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
